,Netherlands_deaths,Netherlands_cases
17,20.0,1135.0
18,24.0,1413.0
19,43.0,1705.0
20,58.0,2051.0
21,76.0,2460.0
22,106.0,2994.0
23,136.0,3631.0
24,179.0,4204.0
25,213.0,4749.0
26,276.0,5560.0
27,356.0,6412.0
28,434.0,7431.0
29,546.0,8603.0
30,639.0,9762.0
31,771.0,10866.0
32,864.0,11750.0
33,1039.0,12595.0
34,1173.0,13614.0
35,1339.0,14697.0
36,1487.0,15723.0
