,France_deaths,France_cases
49,79.0,3661.0
50,91.0,4499.0
51,127.0,5423.0
52,148.0,6633.0
53,175.0,7730.0
54,244.0,9134.0
55,372.0,10995.0
56,450.0,12612.0
57,562.0,14459.0
58,674.0,16018.0
59,860.0,19856.0
60,1100.0,22302.0
61,1331.0,25233.0
62,1696.0,29155.0
63,1995.0,32964.0
64,2314.0,37575.0
65,2606.0,40174.0
66,3024.0,44550.0
67,3523.0,52128.0
68,4032.0,56989.0
69,4503.0,59105.0
