,Belgium_deaths,Belgium_cases
42,5.0,1085.0
43,5.0,1243.0
44,14.0,1486.0
45,21.0,1795.0
46,37.0,2257.0
47,67.0,2815.0
48,75.0,3401.0
49,88.0,3743.0
50,122.0,4269.0
51,178.0,4937.0
52,220.0,6235.0
53,289.0,7284.0
54,353.0,9134.0
55,431.0,10836.0
56,513.0,11899.0
57,705.0,12775.0
58,828.0,13964.0
59,1011.0,15348.0
60,1143.0,16770.0
