,Germany_deaths,Germany_cases
42,2.0,1139.0
43,2.0,1296.0
44,3.0,1567.0
45,5.0,2369.0
46,5.0,3062.0
47,8.0,3795.0
48,12.0,4838.0
49,13.0,6012.0
50,13.0,7156.0
51,13.0,8198.0
52,43.0,14138.0
53,45.0,18187.0
54,67.0,21463.0
55,94.0,24774.0
56,126.0,29212.0
57,149.0,31554.0
58,198.0,36508.0
59,253.0,42288.0
60,325.0,48582.0
61,389.0,52547.0
62,455.0,57298.0
63,583.0,61913.0
64,732.0,67366.0
65,872.0,73522.0
66,872.0,73522.0
67,1017.0,79696.0
